'num','a_le','d_le'
1,1,1
2,3,1
3,1,2
4,2,3
5,3,1
6,3,2
7,2,2
8,3,1
9,2,3
10,2,1
11,2,3
12,3,2
13,1,2
14,1,3
15,1,2
16,3,3
17,1,3
18,1,1
19,2,3
20,1,2
21,3,3
22,3,1
23,3,2
24,2,2
25,1,2
26,1,1
27,,3
28,,1
29,,1
30,,1
32,,2
33,2,1
34,3,3
35,3,2
36,1,3
37,2,1
38,1,3
39,3,3
40,2,2
41,,
42,,
43,,
44,,
45,,
46,2,3
47,2,2
48,2,2
49,1,3
50,2,2
51,3,2
52,3,1
53,2,3
54,2,1
55,2,1
56,2,3
57,3,2
58,1,2
59,2,1
60,1,2
61,3,1
62,3,1
63,2,3
64,3,2
65,1,1
66,2,3
67,3,2
68,2,2
69,2,1
70,3,1
71,,
72,,
73,,
74,,
75,,
76,3,1
77,2,3
78,3,2
79,1,3
80,3,1
81,3,3
82,3,2
83,2,2
84,1,2
85,1,2
86,2,2
